id,standing ovation,mean,median,variance,standard deviation,sentence count
1053,0,15.33,13.5,82.38,9.08,126
2200,0,23.61,18.0,305.53,17.48,54
289,0,13.58,11.5,74.17,8.61,154
1090,0,16.13,12.0,127.34,11.28,135
3687,0,12.52,12.0,51.86,7.2,99
1912,0,24.43,24.0,257.13,16.04,35
2994,0,14.31,12.0,117.25,10.83,36
3334,0,24.57,24.0,141.29,11.89,76
1292,0,16.96,15.0,99.92,10.0,168
712,0,16.86,15.0,79.38,8.91,167
1286,0,28.21,24.0,331.88,18.22,71
3526,0,16.52,11.0,169.59,13.02,88
1331,0,15.29,13.0,118.38,10.88,152
1319,0,15.91,15.0,104.85,10.24,92
699,0,16.63,15.0,109.35,10.46,150
3056,0,20.07,18.0,152.04,12.33,156
2412,0,19.54,17.5,91.89,9.59,28
3718,0,17.19,14.0,171.08,13.08,176
464,0,25.81,20.0,449.62,21.2,94
3903,0,13.86,12.0,86.33,9.29,50
459,0,18.24,17.0,128.29,11.33,109
1683,0,20.13,15.0,283.13,16.83,104
3719,0,17.95,15.0,152.65,12.36,141
1132,0,16.48,15.0,81.83,9.05,128
2349,0,16.52,13.5,143.65,11.99,124
3057,0,18.7,16.0,198.67,14.1,136
2188,0,15.0,13.0,60.89,7.8,132
2836,0,9.76,8.0,28.73,5.36,38
840,0,12.95,10.0,68.35,8.27,132
3527,0,14.22,12.0,110.67,10.52,113
3533,0,12.79,10.0,75.86,8.71,189
28,0,12.46,10.0,61.83,7.86,67
2942,0,24.29,22.0,267.83,16.37,80
2771,0,12.96,12.0,65.26,8.08,141
3309,0,18.08,13.5,170.56,13.06,144
908,0,19.15,18.0,114.47,10.7,97
539,0,15.98,13.5,108.89,10.44,132
505,0,16.59,15.0,100.77,10.04,150
2201,0,17.51,14.0,163.74,12.8,111
1046,0,12.77,10.0,94.65,9.73,131
3653,0,14.0,11.5,94.74,9.73,224
1722,0,11.4,10.0,41.76,6.46,232
2217,0,13.36,12.0,52.22,7.23,183
1905,0,15.61,12.0,136.42,11.68,152
1911,0,15.98,14.0,94.79,9.74,63
1246,0,19.16,17.0,151.65,12.31,154
1252,0,15.68,14.0,80.55,8.98,121
936,0,12.0,10.0,68.64,8.28,243
2773,0,20.35,16.0,214.36,14.64,65
922,0,16.12,16.0,85.96,9.27,99
1285,0,16.32,13.5,143.66,11.99,104
3257,0,15.24,14.0,78.0,8.83,54
2607,0,16.79,14.0,165.74,12.87,222
1483,0,15.97,13.0,114.55,10.7,39
1130,0,19.86,16.0,175.3,13.24,76
473,0,14.65,13.0,54.12,7.36,174
1871,0,18.22,17.0,150.42,12.26,100
1864,0,16.18,13.0,115.85,10.76,107
1119,0,12.65,10.0,82.81,9.1,165
2404,0,13.78,13.0,70.18,8.38,49
670,0,11.49,10.0,52.3,7.23,92
857,0,13.04,11.0,72.73,8.53,146
17,0,17.0,14.5,138.6,11.77,44
1469,0,15.77,10.0,152.12,12.33,147
3256,0,15.03,14.0,81.12,9.01,153
3524,0,16.44,14.0,154.56,12.43,187
3493,0,22.21,21.5,170.93,13.07,38
1284,0,18.68,16.0,121.76,11.03,128
710,0,15.13,13.0,96.97,9.85,101
923,0,17.29,14.0,108.97,10.44,143
